Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
PI320500974693881494900736,LA320500956546051353874432,苏州卡利肯新光讯科技有限公司仓储课主管封堵钢化车间南侧安全出口案,"张翠??""USER320500421238375480037376",USER320500470648739564883968,"USER320500490177546646720512""",高端制造与国际贸易区应急管理局,,WS320500972094781821816832,9039068,USER3205006MANUAL,USER3205024MANUAL,USER3205019MANUAL,25:31.0,14:09.0,,2,320500,25:31.0,09:57.0,320500,i,0941fcb1-46e9-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??
PI320505444523420101644288,LA320505442599556987752448,亚适通风设备（苏州）有限公司生产经营单位特种作业人员未经专门培训取得特种作业操作证上岗作业案,亚适通风设备（苏州）有限公司,"USER320500284029374368321536,USER320500284028404246777856",尚湖镇安监办,,WS320505444523291563003904,852379,USER320500327025027000045568,,USER320500327044769932906496,37:23.0,11:16.0,,2,320500,37:23.0,40:21.0,320500,u,84bf1b56-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500772125537320570880,LA320500766948956813922304,苏州市方苑金属制品股份有限公司安全设备的安装不符合国家标准案,"苏州市方苑金属制品股份有限公??""5a901bbc-c8b3-43ea-8dac-f64998bd1d01","USER320500652449695028744192""",七都镇安监所,,WS320500771007126842642432,7376961,USER320500454574028846272512,,USER320500447766621696561152,51:14.0,12:48.0,,2,320500,51:14.0,51:43.0,320500,i,5501fea8-8fa5-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500847881969978052608,LA320500838067776613519360,"李伸柱（系江苏国友汽车装备有限公司主要负责人）未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）??李伸??""USER3205343","USER320500483317590077214720""",执法大队,,WS320500840897535710072832,,USER3205323,,USER320500504700665809866752,00:16.0,14:35.0,,2,320500,00:16.0,41:38.0,320500,u,17dcc880-33e2-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585493020763385761792,LA320585490149406415261696,苏韵展示展览（苏州）股份有限公司未建立安全风险辨识管控制度案,苏韵展示展览（苏州）股份有限公司,"USER320500343703295648337920,USER320500343701941366296576",浮桥??,WS320585493015571684659200,825538,USER320585479284006546837504,USER320500343703295648337920,USER320500343701410812006400,28:31.0,11:51.0,USER320500343701410812006400,2,320500,10:34.0,31:10.0,320500,u,4560069b-3290-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581745678486642888704,LA320581731500275780554752,"苏州迈通工控设备有限公司员工未按规定取得电焊作业相关资质证件，属于无证作业??苏州迈通工控设备有限公??""USER320500283966300294746112","USER320581678975422167257088""",东南街道,,WS320581739420087076786176,2367560,USER320581672127112802471936,,USER320500327486434418102272,20:06.0,13:54.0,,2,320500,20:06.0,32:49.0,320500,u,45c6a41b-5648-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581547792744282591232,LA320581543062226974543872,"常熟市大秦无纺制品有限公司生产经营单位违反《江苏省安全生产条例》进行高处作业危险作业的??常熟市大秦无纺制品有限公??""USER320500370602410692841472","USER320500284036398716030976""",支塘??,WS320581547791580979793920,1323883,USER320500360118553480794112,,USER320500360121683551457280,52:49.0,13:58.0,,2,320500,52:49.0,53:07.0,320500,u,4d5a933e-a938-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320585855489845173161984,LA320585855004668651114496,"苏州希诺斯实业有限公司安全设备的安装、使用不符合国家标准??苏州希诺斯实业有限公??""USER3205412","USER320585806908886828191744""",双凤??,WS320585855396117917995008,2242768,USER320585479284006546837504,,USER3205410,51:14.0,14:14.0,,2,320500,51:14.0,01:12.0,320500,u,8ff6f333-4462-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320585604619828782698496,LA320585599627237318201344,椿之晓（江苏）科技有限公司安全设备未定期检测案,椿之晓（江苏）科技有限公司,"USER3205421,USER3205420",沙溪??,WS320585604617400746250240,1307267,USER320585479284006546837504,,USER320585536499964797259776,23:21.0,14:47.0,,2,320500,23:21.0,34:23.0,320500,i,b659ec19-249b-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585523542701606440960,LA320585521306240207294464,太仓和欣塑胶有限公司未对承租单位的安全生产统一协调、管理案,太仓和欣塑胶有限公司,"USER320585465195986067656704,USER320585465195532126523392",港区,,WS320585523520620667867136,1015137,USER320585479284006546837504,,USER3205388,51:48.0,13:59.0,,2,320500,51:48.0,54:15.0,320500,u,34e9d75c-7492-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320585561896236542595072,LA320585551399389474590720,太仓市苏鑫机械设备有限公司特种作业人员未经专门培训取得特种作业操作证上岗作业、安全设备的安装、使用不符合国家标准或者行业标准案,"太仓市苏鑫机械设备有限公??""USER3205420","USER3205421""",沙溪??,WS320585561895893150732288,1132873,USER320585479284006546837504,,USER320585536499964797259776,55:03.0,14:55.0,,2,320500,55:03.0,14:45.0,320500,i,d110f03d-c7dd-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500634013439861198848,LA320500629342790328782848,苏州中亿捷精工科技有限公司生产经营单位未与承租单位签订专门的安全生产管理协议案,陈义,"USER320500360780720660025344,USER3205221",苏州市相城区元和街道办事??,WS320500633982642840145920,4848943,USER320500423418983820038144,,USER320500555378192399994880,03:04.0,01:57.0,,2,320500,03:04.0,04:45.0,320500,i,18f66619-6442-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500464089568891637760,LA320500452053918411657216,"苏州市永安彩钢板钢结构有限公司安全生产违法案??苏州市永安彩钢板钢结构有限公??""USER320500446745886295330816","USER320500446747103155195904""",震泽镇综合执法局,,WS320500464088853146243072,1417862,USER320500450344110599966720,,USER320500446745147682590720,26:17.0,48:50.0,,2,320500,26:17.0,33:10.0,320500,i,84bbc0c8-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500614091733294125056,LA320500606167121575022592,"昆山市云峰五金机械有限公司未按照规定对被派遣劳动者进行安全生产教育和培训??昆山市云峰五金机械有限公??""USER320500283044230257971200","USER320500283043866221744128""",花桥综合行政执法局,,WS320500614087083014754304,4506503,USER320500521367366047633408,,USER320500432874747710148608,41:19.0,14:21.0,,2,320500,41:19.0,47:52.0,320500,i,00635a07-390a-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320585723193426744446976,LA320585716629437411495936,太仓金凯包装材料有限公司安全设备的安装、使用不符合国家标准??太仓金凯包装材料有限公司,"USER320585421231885608292352,USER3205406",浏河??,WS320585718092183432859648,1797887,USER320585479284006546837504,,USER3205405,12:30.0,15:00.0,,2,320500,12:30.0,21:29.0,320500,u,05eaae7a-2590-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320585492652729060036608,LA320585490511561622818816,太仓市兴阳混凝土制品有限公司未进行较大以上安全风险公示案,太仓市兴阳混凝土制品有限公司,"USER320500282817478575263744,USER320585371676593141059584",国开区中??,WS320585492650566237818880,831844,USER320585479284006546837504,,USER3205395,06:05.0,11:51.0,,2,320500,06:05.0,40:00.0,320500,u,1b0fc20d-31c7-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500538051623029575680,LA320500520601865683996672,江苏垦拓建设工程有限公司进行危险作业未按照规定履行职责等违法事项??江苏垦拓建设工程有限公司,"USER3205089MANUAL,USER3205085MANUAL",金鸡湖商务区安全生产监督管理局,,WS320500538025433229168640,2802048,USER3205006MANUAL,USER320500280676583960743936,USER3205074MANUAL,45:04.0,32:09.0,,2,320500,45:04.0,13:10.0,320500,i,ce316a14-a6dc-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320506459721436978745344,LA320506456458874342346752,苏州伟利宁金属制品有限公司生产经营单位未与承租单位签订专门的安全生产管理协议或者未在租赁合同中明确各自的安全生产管理职责，未对承租单位的安全生产统一协调、管理案,卢伟,"USER320500282468581604593664,USER320500282468026647842816",木渎镇人民政??,WS320506459670167438233600,839612,USER320500282473390768394240,USER320500282468581604593664,USER320500282467600644968448,08:53.0,11:28.0,,2,320500,08:53.0,,320500,u,84c01b4e-5e90-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500315513391139524608,LA320500315491990043103232,张家港百秀服帽整理有限公司未按照规定对从业人员进行安全生产教育和培训；未将事故隐患排查治理情况如实记录；未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志案,张家港百秀服帽整理有限公司,"USER3205341,USER3205343",监察大队,,WS320500315512975450443776,106163,USER3205323,,USER3205346,06:35.0,22:29.0,,2,1,59:18.0,59:18.0,320500,u,5ecac7dd-b314-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500740518501361389568,LA320500736619413347766272,杭州宁智摄影器材有限公司特种作业人员1人未按规定经专门的安全作业培训并取得相应资格上岗作业??杭州宁智摄影器材有限公司,"USER320500697738230220460032,USER320500697738620752105472",平江街道,,WS320500739437713970696192,6905431,USER320500655351005692563456,,USER320500655351986631217152,36:10.0,31:53.0,,2,320500,36:10.0,37:04.0,320500,i,f47a886d-4b47-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500601356353516081152,LA320500591262621697576960,昆山力捷塑胶五金有限公司安全设备未进行定期检测案,昆山力捷塑胶五金有限公司,"USER320500283053081581588480,USER320500283051718202101760",周市镇综合行政执法局,,WS320500601074882578485248,4140597,USER320500427523408993980416,USER320500427523558659330048,USER320500520636873488470016,15:28.0,14:59.0,,2,320500,15:28.0,30:05.0,320500,i,37045ddf-1d89-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500497409552002584576,LA320500495185209340203008,相城区渭塘乐宝弹簧厂未按规定上报事故隐患排查治理统计分析表案,相城区渭塘乐宝弹簧厂,"USER320500437645997963743232,USER320500462938787060649984",苏州市相城区渭塘镇人民政??,WS320500497407275028189184,2183529,USER320500448781815260385280,,USER320500448782244308324352,08:00.0,49:16.0,USER320500448782244308324352,2,320500,49:25.0,51:34.0,320500,u,410ad1e1-3bfe-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581711523250546413568,LA320581698503866072698880,常熟市金晟商场展示设备有限公司未对承租单位的安全生产进行统一协调、管理案,"常熟市金晟商场展示设备有限公??""USER320500283966300294746112","USER320581678975422167257088""",东南街道,,WS320581711508029735964672,2159608,USER320500283965758969483264,,USER320500327486434418102272,19:23.0,10:17.0,,2,320500,19:23.0,54:24.0,320500,i,7a892e35-0c6b-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500468105221021634560,LA320500467321966118834176,张家港市奇力机械有限公司未对安全设备进行经常性维护、保养案,张家港市奇力机械有限公司,"USER3205352,USER3205322",监察大队,,WS320500468058900550127616,1537042,USER3205323,,USER3205346,23:03.0,48:54.0,,2,320500,23:03.0,04:34.0,320500,u,d818923a-fc57-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320585599957398118993920,LA320585592358237974564864,太仓亚胜金属制品有限公司作业人员违反操作规程作业??太仓亚胜金属制品有限公司,"USER3205407,USER3205406",浏河??,WS320585599954810430558208,1278943,USER320585479284006546837504,,USER3205405,36:31.0,44:17.0,,2,320500,36:31.0,44:18.0,320500,i,8d685b58-1a64-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320500687586910301851648,LA320500682622669459296256,苏州工业园区灵鸽金属加工有限公司总经理违反操作规程作业案,陈鸽,"USER320500656884309377945600,USER3205031MANUAL",高端制造与国际贸易区应急管理局,,WS320500687307712823824384,5817129,USER3205006MANUAL,USER3205024MANUAL,USER3205019MANUAL,04:55.0,11:27.0,,2,320500,04:55.0,24:49.0,320500,i,909aeaa0-d88e-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500508225395577851904,LA320500505042234765217792,苏州博斯特精密机械有限公司使用应当淘汰的危及生产安全的设备案,"苏州博斯特精密机械有限公??""USER3205032MANUAL","USER3205022MANUAL""",高端制造与国际贸易区安全生产监督管理局,,WS320500507964035094810624,2421214,USER3205006MANUAL,USER3205024MANUAL,USER3205019MANUAL,26:18.0,49:28.0,,2,320500,26:18.0,57:35.0,320500,u,3676301f-5391-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320500581512595173806080,LA320500579255593173258240,吴江市震泽施兴机械制造厂工业企业拒不按照《江苏省工业企业安全生产风险报告规定》报告较大以上安全风险案,吴江市震泽施兴机械制造厂,"c09654c9-7228-4ac2-bba7-a6d1b658cce8,1ed91a27-9f14-4b6c-a54f-a8ecd1f4a5c4",四中??,WS320500581510888268238848,3661047,257ad41f-7422-43bc-9f6d-f8156d6eaa59,,88a5c037-e992-4aea-ac34-afe0cee079b3,03:28.0,14:05.0,,2,320500,03:28.0,13:37.0,320500,u,5dd05aeb-f251-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581992466787427684352,LA320581961929251676753920,中新园瑞（常熟）梅李智能制造产业园市政景观工程??·20”一般坍塌事故案,"董夫??""USER320581552061599054041088","USER320581779716186123276288""",常熟市应急管理综合行政执法大??,WS320581992350840406675456,3332197,USER3205273,,USER3205283,28:42.0,28:42.0,,2,320500,28:42.0,36:50.0,320500,u,2149e78b-6d6a-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500500980809461665792,LA320500499638719720984576,苏州林振环保工程有限公司生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议且未对承包单位、承租单位的安全生产统一协调、管理案,苏州林振环保工程有限公司,"dbb0c580-3cbf-4b66-a84b-f81d9d30c04d,b697647b-666f-4f8c-8780-92fd08f9bb10",黎里镇综合执法局,,WS320500500980356443279360,2283779,USER320500447773818476302336,,USER320500447746803643715584,38:54.0,49:20.0,,2,320500,38:54.0,39:27.0,320500,u,e831709a-43d9-11ec-b626-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,
PI320581699947360381308928,LA320581692658732970020864,常熟市神力机械制造有限责任公司主要负责人瞿凯未按规定履行安全生产管理职责??翟凯,"USER320500379286073525669888,USER320581552061599054041088",常熟市应急管理综合行政执法大??,WS320581698889237566590976,2119761,USER3205273,,USER3205277,40:56.0,10:25.0,,2,320500,40:56.0,21:07.0,320500,u,5b4d5c92-f40f-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,,
PI320581869974784627183616,LA320581867788210258841600,常熟市旺泰机械有限公司安全设备的安装不符合国家标准案,"常熟市旺泰机械有限公??""USER320581779711615422435328","USER320581636888437860864000""",常熟市应急管理综合行政执法大??,WS320581869954156704567296,2831385,USER3205273,,USER3205283,09:13.0,13:30.0,,2,320500,09:13.0,16:51.0,320500,i,29e9d1fa-63d1-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI3205061032578718259744768,LA3205061007210293727596544,苏州市天翔钢结构有限公司未对承租单位的安全生产工作统一协调、管理案,苏州市天翔钢结构有限公司,"USER320506408679854125355008,USER320506994313122749616128",胥口??,WS3205061030478983105351680,2225086,USER320506408680543979311104,USER320506408680543979311104,USER320506408679854125355008,59:12.0,59:12.0,,2,320500,59:12.0,00:45.0,320500,u,d9f2a22d-c49e-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500847130312705052672,LA320500825700959974854656,苏州珈玛自动化科技有限公司未采取措施消除事故隐患案,苏州珈玛自动化科技有限公司,"USER320500437645997963743232,USER320500437646546725507072",苏州市相城区渭塘镇人民政??,WS320500845270385304801280,8230911,USER320500829769280491884544,,USER320500448782244308324352,13:26.0,14:38.0,,2,320500,13:26.0,20:39.0,320500,i,c354baa5-324f-11ef-bd47-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320500551769755795591168,LA320500547783791263879168,张家港市宏昌五金工具有限公司宁新违反安全管理规定作业??张家港市宏昌五金工具有限公司,"USER3205356,USER320500408630510537936896",大新镇综合行政执法局,,WS320500551768471155773440,3122578,USER320500474613739291676672,,USER320500408629251504345088,16:02.0,15:55.0,,2,320500,16:02.0,16:50.0,320500,i,1f91c920-b1dd-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
PI320581571703907059765248,LA320581565527597585272832,常熟市君顺毛纺织有限公司违反操作规程作业??常熟市君顺毛纺织有限公司,"USER320500387954368533499904,USER320500283961840315142144,USER320505467259930714312704",碧溪街道,,WS320581571693466174623744,1402364,USER320500387953970145923072,,USER320500283960706833846272,27:14.0,14:31.0,,2,320500,27:14.0,32:49.0,320500,u,e5b7783d-dd19-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:07 CST 2026,苏州??,,
