"文书记录id","文书类型编码(code关联字典表)","来源id","业务id","文书填报人","填报人所处的单位","创建时间","最后修改时间","最后执行修改事务人id","承办人id(需要承办人签名时，才传该字段,最多3个人)","已经签名的承认人的id","文书号","pdf附件id(关联附件表)","签字文书附件id(关联附件表)","pdf_size","其他文书附件","签章状态","0 是正常 -1 删除","文书版本","文书号","自动签名状态 0 非自动签名  1 自动签名","文书附件id(关联附件表)","记录版本","是否已上报省厅 0否 1是","签字文书已上传标志 0:否 1:是","企业id","数据导入类型，是否是本系统生成的数据 默认0 ","当事人签名证据","过过期状态期状态  0 正常 1 过期","签字文书上传时间","文书来源 L 立案  E 检查","归属年份","转办标记","转办版本号","地区编码","操作类型","uuid","分类分级","加载时间","文书类型编码(code关联字典表)","0 是正常 -1 删除","签章状态","是否已上报省厅 0否 1是","签字文书已上传标志 0:否 1:是","过过期状态期状态  0 正常 1 过期","数据导入类型，是否是本系统生成的数据 默认0 ","转办标记","地区编码"
WS320500556040062035300352,ws10002,PE320500556040053684441088,,USER3205028MANUAL,"320571400000",2022-04-13 09:04:43.000,2022-04-13 10:53:44.000,USER3205028MANUAL,"USER3205028MANUAL,USER320500470648739564883968",,（苏苏园）应急检查〔2022〕214号,FILE320500556040062714777600,,3,,"0",-1,0,"214","0",FILE320500556040062693806080,,"0","0",,"320500",,"0",,,"2022","0","0","320500",i,"1dbb61da-bb4b-11ec-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500596259992571482112,ws10048,LA320500467290645443121152,,"2d72afcb-3dbb-4f86-9dd2-4fac362bb036","32050906111",2022-08-02 08:44:22.000,2022-08-02 09:53:25.000,"2d72afcb-3dbb-4f86-9dd2-4fac362bb036","ade2eeee-5a61-4284-84f1-a3fe781ab9f0,2d72afcb-3dbb-4f86-9dd2-4fac362bb036",,（苏苏江横）应急〔2021〕272号,FILE320500596259994731548672,,2,,"0","0",0,"272","0",FILE320500596259994706382848,,"0","0",EP320500459728421379903488,"320500",,"0",,L,"2021","0","0","320500",i,"19abccbd-1285-11ed-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585698841788525318144,ws10006,ER320585687985143813509120,ER320585687985143813509120,USER320585469794779132071936,"320585410000",2023-05-12 10:27:47.000,2023-05-18 10:47:38.000,USER3205426,"USER320585469794779132071936,USER320500343703295648337920",,（苏苏太港）应急复查〔2023〕14号,FILE320585698841789171240960,,1,,"1","0",0,"14","0",FILE320585698841789167046656,,"0","0","1959e1b4dd7711e7bbd0b083feb9258c","320500",,"0",,E,"2023","0","0","320500",i,"507643d9-f40b-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500456827407307902976,ws10005,EA320500456826978062831616,EC320500456827407056244736,,"320509100100",2021-07-13 14:29:03.000,2021-07-23 15:50:13.000,c22f9215-0603-4dd8-9313-fed53a58d616,"695215ff-984a-4fea-b4eb-582fa0586eaf,c22f9215-0603-4dd8-9313-fed53a58d616",,（苏苏江震）应急责改〔2021〕712号,FILE320500460466635484958721,,1,,"1","0",0,"712","0",FILE320500456827407970603008,,"0","1","2c65d4c8-9df3-41de-b06b-be4cc355b1f1","320500",,"0",2021-07-23 15:30:02.000,E,"2021","0","0","320500",i,b6a3cb46-e3fb-11eb-bca6-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500356484588328980480,ws10001,LA320500356483092984107008,,USER3205055,"320505220000",2020-10-09 17:02:30.000,2021-07-30 17:53:52.000,USER3205050,"USER3205055,USER3205053",,（苏苏高）应急立〔2020〕85号,FILE320500356485506378240000,,2,,"0","0",0,"85","0",FILE320500356485506348879872,,"0","0",d2eb43879ce011e6bd216c92bf2ec170,"320500",,"0",,L,"2020","0","0","320500",i,befb0b4d-b303-11eb-bca6-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500724210781888974848,ws10005,EA320500724200131578040320,EC320500724210781507293184,USER3205342,"320582030000",2023-07-21 10:35:07.000,2023-07-27 16:44:43.000,USER3205342,"USER3205342,USER3205338,USER3205331",,（苏苏张）应急责改〔2023〕739号,FILE320500726453087958470656,,1,,"1","0",0,"739","0",FILE320500724211288900636672,,"0","1",EP3205001639666907630332165,"320500",,"0",2023-07-27 15:05:14.000,E,"2023","0","0","320500",i,"78fb1377-27e7-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320581956195737656365056,ws10003,EA320581948984663748120576,,USER320500283966852734914560,"320581460000",2025-04-21 14:20:30.000,2025-04-22 16:45:18.000,USER320500283966852734914560,"USER320500283966852734914560,USER320581919541794545340416",,（苏苏常东）应急现记〔2025〕428号,FILE320581956567837336408064,,1,,"0","0",0,"428","0",FILE320581956195738059018240,,"0","1",EP3205001639666919838347156,"320500",,"0",2025-04-22 14:59:06.000,,"2025","0","0","320500",i,"91e2d0fc-1ed1-11f0-b4a9-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500564485569434882048,ws10002,PE320500564485550011060224,,USER320500449160154865209344,"320509010500",2022-05-06 16:24:09.000,2022-05-06 17:54:53.000,"0effa5bb-7711-488c-916c-c23830a77bfd","f2044890-ddfb-4c7d-9e76-d6dd6576fbaa,USER320500449160154865209344",,（苏苏江）应急检查〔2022〕458号,FILE320500564485570441515008,,3,,"1","0",0,"458","0",FILE320500564485570416349184,,"0","0",,"320500",,"0",,,"2022","0","0","320500",i,faebad0a-cd5d-11ec-8131-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585741957364738953216,ws10003,EA320585740528764378681344,,USER320500282816791439216640,"320585030300",2023-09-08 09:53:42.000,2023-10-17 15:43:48.000,USER3205392,"USER3205392,USER320500282816791439216640",,（苏苏太）应急现记〔2023〕811号,FILE320585756137048926064641,,1,,"0","0",0,"811","0",FILE320585741958076948549632,,"0","1",EP3205001639666733235118866,"320500",,"0",2023-10-17 12:58:42.000,E,"2023","0","0","320500",i,"91eb3439-4e68-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500500950548900483072,ws10053,LA320500500613734666866688,,USER3205342,"320582030000",2021-11-12 08:38:39.000,2021-11-22 10:16:27.000,USER3205363,"USER3205342,USER3205363",,（苏苏张）应急调查〔2021〕701号,FILE320500500950933937590272,,3,,"0","0",0,"701","0",FILE320500500950933052592128,,"0","0",bdaa8c3e9ce011e6bd216c92bf2ec170,"320500",,"0",,L,"2021","0","0","320500",i,e8cdf570-43d9-11ec-b626-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500770976837273653248,ws10005,EA320500770945037461622784,EC320500770976836564815872,USER3205363,"320582030000",2023-11-27 11:46:43.000,2023-11-27 14:42:44.000,USER3205363,"USER3205354,USER3205363",,（苏苏张）应急责改〔2023〕1181号,FILE320500770997394971037696,,2,,"1","0",0,"1181","0",FILE320500770976837831495680,,"0","1","1201b4a096ac11e6bd216c92bf2ec170","320500",,"0",2023-11-27 13:08:24.000,E,"2023","0","0","320500",i,c93ea874-8d45-11ee-bd47-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585702549975480930304,ws10001,LA320585702547919630241792,,USER3205403,"320585030700",2023-05-22 16:02:48.000,2023-05-22 19:40:30.000,USER320585433918118922817536,"USER3205403,USER320585371674988698144768",,（苏苏太）应急立〔2023〕150号,FILE320585702553849264607232,,2,,"1","0",0,"150","0",FILE320585702553849247830016,,"0","0",EP3205001639666733560120056,"320500",,"0",,L,"2023","1-u","0","320500",i,"4cd3131e-f8c2-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320581628956858769477632,ws10003,EA320581628955874357940224,,USER320500284026808695787520,"320581530000",2022-10-31 14:10:02.000,2022-12-14 12:06:42.000,USER320500284026434823917568,"USER320500284026808695787520,USER320500284026434823917568",,（苏苏常沙）应急现记〔2022〕2533号,FILE320581644562716949745664,,1,,"0","0",0,"2533","0",FILE320581628956859864190976,,"0","1",ba0fd1a39ce011e6bd216c92bf2ec170,"320500",,"0",2022-12-13 15:42:08.000,E,"2022","0","0","320500",i,bb72e89b-593d-11ed-8131-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500882266010344755200,ws10006,ER320500875324482602930176,ER320500875324482602930176,USER3205071MANUAL,"320571420000",2024-09-29 14:10:10.000,2024-09-30 10:43:05.000,USER3205066MANUAL,"USER3205066MANUAL,USER3205071MANUAL",,（苏苏园）应急复查〔2024〕338号,FILE320500882556545164906496,,1,,"1","0",0,"338","0",FILE320500882266010793545728,,"0","1",EP3205001639666761395153782,"320500",,"0",2024-09-30 09:24:38.000,E,"2024","0","0","320500",i,bdccda7b-7e84-11ef-b4a9-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320506778630732019929088,ws10006,ER320506768484085600358400,ER320506768484085600358400,USER320506467378956136353792,"320506530000",2023-12-18 14:40:34.000,2023-12-18 18:42:39.000,USER320506467378956136353792,"USER320500282468026647842816,USER320506467378956136353792,USER320506495199330697744384",,（苏苏吴木）应急复查〔2023〕1473号,FILE320506778632659713658881,,1,,"1","0",0,"1473","0",FILE320506778630732997201920,,"0","1",EP3205001639666754970146052,"320500",,"0",2023-12-18 14:48:13.000,E,"2023","0","0","320500",i,"4425a683-9dc6-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585586912707312095232,ws10030,LA320585579343067576799232,,USER320585371676593141059584,"320585030400",2022-07-07 13:41:35.000,2022-07-09 07:53:51.000,USER320585433918118922817536,"USER320500282817478575263744,USER320585371676593141059584",,（苏苏太）应急处呈〔2022〕112号,FILE320585586912708075458560,,2,,"1","0",0,"112","0",FILE320585586912708067069952,,"0","0",EP3205001639666911006336336,"320500",,"0",,L,"2022","0","0","320500",i,"79932a06-ffa9-11ec-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500533206786119831552,ws1004018,LA320500522333266972250112,,USER320500428572751582728192,"320583050000",2022-02-09 08:53:25.000,2022-03-31 22:57:52.000,USER320500428572751582728192,"USER320500428572751582728192,USER3205387",,（苏苏昆）应急回〔2022〕46号,FILE320500533220217472421889,,1,,"1","0",0,"46","0",FILE320500533206786765754368,,"0","1",,"320500",,"0",2022-02-09 09:46:48.000,L,"2022","0","0","320500",i,af6bcea0-89c9-11ec-8131-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320581811960176981577728,ws10063,LA320581809434558092021760,,USER320500284028908465033216,"320581550000",2024-03-19 13:59:53.000,2024-04-17 11:40:38.000,USER320500284028908465033216,"USER320500284028908465033216,USER320500284028591241433088",,（苏苏常尚）应急确认〔2024〕97号,FILE320581822396132087828480,,2,,"0","0",0,"97","0",FILE320581811960178181148672,,"0","1",EP3205001639666814501219660,"320500",,"0",2024-04-17 09:08:38.000,L,"2024","0","0","320500",i,"73116a20-e611-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320506857276214136541184,ws10059,LA320506855021230024036352,,USER320506495199330697744384,"320506530000",2024-07-22 15:09:38.000,2024-07-26 14:44:15.000,USER320500282473390768394240,"USER320500282468026647842816,USER320506495199330697744384,USER320500282469613785059328",,（苏苏吴木）应急法审〔2024〕125号,FILE320506858632654843547648,,2,,"1","0",0,"125","0",FILE320506858632654768050176,,"0","0",EP320506516210965990084608,"320500",,"0",,L,"2024","0","0","320500",i,"57b39e2a-484c-11ef-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500492634315461496832,ws1004007,LA320500492630693562552320,,USER320500432191861927448576,"320583420000",2021-10-20 09:52:55.000,2021-11-10 10:00:31.000,USER320500432191861927448576,"USER320500432191861927448576,USER320500432191533404393472",,（苏苏昆开）应急回〔2021〕544-1号,FILE320500493002053627416576,,1,,"1","0",0,"544-1","0",FILE320500492635324783005696,,"0","1",b4e3d357-00c5-4bf1-8b09-fa06fe43990b,"320500",,"0",2021-10-21 10:14:10.000,L,"2021","0","0","320500",i,"1baf5330-31c7-11ec-b626-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320581683355498963013632,ws10062,LA320581672728755998822400,,USER320500379286073525669888,"320581030000",2023-03-30 16:50:48.000,2023-04-04 10:41:50.000,USER3205262,"USER320500379286073525669888,USER320500379283516346601472",,（苏苏常）应急告〔2023〕189号,FILE320581684800036881567744,,2,,"1","0",0,"189","0",FILE320581684800036843819008,,"0","0",EP3205001639666748420137839,"320500",,"0",,L,"2023","0","0","320500",i,"3255b47f-d241-11ed-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500294820429866995712,ws1003012,LA320500287588910781960192,,USER3205338,"320582030000",2020-04-22 13:11:09.000,2021-07-30 17:42:57.000,USER3205310,"USER3205338,USER3205336",,（苏苏张）应急案告〔2020〕22号,FILE320500294820537522196480,,1,,"0","0",1,"22","0",FILE320500294820537513807872,,"1","0",EP320500287586774195113984,"320500",,"0",,L,"2020","0","0","320500",i,"8eaf5497-f157-11eb-bca6-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500761601084736147456,ws10031,LA320500756514250523938816,PD320500759772743070650368,USER3205327,"320582030000",2023-11-01 14:50:50.000,2023-11-15 17:43:21.000,USER3205327,"USER3205327,USER320500637969450334687232",,（苏苏张）应急罚集〔2023〕540号,FILE320500766698832112128001,,2,,"0","0",0,"540","0",FILE320500761601086007021568,,"0","1",fcf78c8ddd6c11e7bbd0b083feb9258c,"320500",,"0",2023-11-15 16:27:27.000,L,"2023","0","0","320500",i,"7dc89553-78d7-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS3205001005417054137749504,ws10059,LA320500994914235848855552,,USER320500785159662461784064,"320571400000",2025-09-04 10:08:27.000,2025-09-04 11:43:11.000,USER3205019MANUAL,"USER320500785159662461784064,USER320500470648739564883968",,（苏苏园）应急法审〔2025〕53号,FILE3205001005418427172524032,,3,,"1","0",0,"53","0",FILE3205001005418427105415168,,"0","0",EP320500977921236703121408,"320500",,"0",,L,"2025","0","0","320500",i,"792b8407-89af-11f0-b4a9-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500815177963963158528,ws10016,EA320500810434300125122560,,USER3205038MANUAL,"320571400000",2024-03-28 11:06:14.000,2024-04-10 13:40:48.000,USER320500656884309377945600,"USER320500656884309377945600,USER3205038MANUAL",,（苏苏园）应急询笔检〔2024〕31号,FILE320500819913693692170240,,3,,"0","0",0,"31","0",FILE320500817335331610169344,,"0","1",EP320500479269874376380416,"320500",,"0",2024-04-10 12:44:19.000,E,"2024","0","0","320500",i,f162b1c2-ed23-11ee-bd47-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500495592348609155072,ws10053,LA320500491914972067008512,,dbb0c580-3cbf-4b66-a84b-f81d9d30c04d,"32050906105",2021-10-28 13:47:05.000,2021-11-25 16:23:55.000,b697647b-666f-4f8c-8780-92fd08f9bb10,"dbb0c580-3cbf-4b66-a84b-f81d9d30c04d,b697647b-666f-4f8c-8780-92fd08f9bb10",,（苏苏江黎）应急调查〔2021〕557号,FILE320500495592349976498176,,3,,"0","0",0,"557","0",FILE320500495592349959720960,,"0","0","0bd2f4a9dd6911e7bbd0b083feb9258c","320500",,"0",,L,"2021","0","0","320500",i,"6e235cc2-3810-11ec-b626-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585632896313360388096,ws10046,LA320585614961116124024832,,USER320500282816791439216640,"320585030300",2022-11-11 11:04:01.000,2022-12-28 11:43:30.000,USER320585433918118922817536,"USER320500282816791439216640,USER320585371675328050892800,USER3205400",,（苏苏太）应急结〔2022〕251号,FILE320585632916870298603520,,2,,"1","0",0,"251","0",FILE320585632916870277632000,,"0","0",EP320585614385205834158080,"320500",,"0",,L,"2022","0","0","320500",i,"3714c529-6507-11ed-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500748464961121947648,ws10034,LA320500739114241545474048,,USER3205342,"320582030000",2023-09-26 08:52:34.000,2023-09-26 10:44:36.000,USER3205316,"USER3205331,USER3205342,USER3205338",,（苏苏张）应急罚〔2023〕467号,FILE320500748466137695522816,,3,,"1","0",0,"467","0",FILE320500748466137645191168,,"0","0",d2de984b9ce011e6bd216c92bf2ec170,"320500",,"0",,L,"2023","0","0","320500",i,"8bb80e82-5c8d-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500743047978180153344,ws10053,LA320500728550768939896832,,USER320500637318288065433600,"32050906107",2023-09-11 10:07:24.000,2023-09-11 11:44:09.000,USER320500446971075360722944,"USER320500446971075360722944,USER320500637318288065433600",,（苏苏江江）应急调查〔2023〕482号,FILE320500743048973090033664,,2,,"0","0",0,"482","0",FILE320500743048973027119104,,"0","0",EP320500727901999370080256,"320500",,"0",,L,"2023","0","0","320500",i,"111d84ca-50c4-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585764833622153760768,ws10006,ER320585756539955995480064,ER320585756539955995480064,USER320585454934598560780288,"320585030200",2023-11-10 12:55:47.000,2023-11-10 20:42:59.000,USER320585581169019776667648,"USER320585581169019776667648,USER320585454934598560780288",,（苏苏太）应急复查〔2023〕616号,FILE320585764915241329889281,,1,,"1","0",0,"616","0",FILE320585764833622568996864,,"0","1",EP320500360444182906540032,"320500",,"0",2023-11-10 18:20:06.000,E,"2023","0","0","320500",i,fa8f0752-7fe9-11ee-bd47-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320585510454156117413888,ws10047,LA320585492274538143289344,,USER3205420,"320585430000",2021-12-08 14:02:36.000,2021-12-08 14:02:46.000,USER3205421,"USER3205421,USER3205420",,（苏苏太沙）应急案〔2021〕28号,FILE320585510454156327129088,,1,,"0","0",0,"28","0",FILE320585510454156322934784,,"0","0",EP320585489834343607308288,"320500",,"0",,L,"2021","0","0","320500",i,"35855c5b-5848-11ec-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320505716642842679709696,ws10002,PE320505716642836140789760,,USER320500282564897215090688,"320505460000",2023-06-30 13:22:49.000,2023-06-30 15:45:12.000,USER3205051,"USER320500282564897215090688,USER3205093",,（苏苏高）应急检查〔2023〕419号,FILE320505716642843300466688,,2,,"1","0",0,"419","0",FILE320505716642843283689472,,"0","0",,"320500",,"0",,,"2023","0","0","320500",i,"008b5e81-1767-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500724196628734414848,ws10062,LA320500711207029204586496,,USER320500637977333415809024,"320582030000",2023-07-21 09:38:52.000,2023-07-21 10:44:53.000,USER3205316,"USER3205352,USER320500637977333415809024",,（苏苏张）应急告〔2023〕332号,FILE320500724196663278702592,,2,,"1","0",0,"332","0",FILE320500724196663236759552,,"0","0",EP320500710856683038969856,"320500",,"0",,L,"2023","0","0","320500",i,"78fa5eda-27e7-11ee-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500624162306074349568,ws10048,LA320500556507684057124864,,"8c068768-1257-4747-be60-205d2f04b720","320509010400",2022-10-18 08:38:12.000,2022-10-18 09:54:08.000,"8c068768-1257-4747-be60-205d2f04b720","6f73e41e-5791-4580-9c6c-c26c7bdbf621,8c068768-1257-4747-be60-205d2f04b720",,（苏苏江）应急〔2022〕112号,FILE320500624164549553033216,,2,,"0","0",0,"112","0",FILE320500624164549477535744,,"0","0",EP3205001639666747227136306,"320500",,"0",,L,"2022","0","0","320500",i,"95a621b6-4f06-11ed-8131-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320506804366847569825792,ws10048,LA320506738781329499361280,,USER320506414121550795509760,"320506580000",2024-02-27 15:06:43.000,2024-02-27 17:41:30.000,USER320506414121550795509760,"USER320506414122557080342528,USER320506414121550795509760",,（苏苏吴）应急〔2023〕296号,FILE320506804366854159077376,,2,,"0","0",0,"296","0",FILE320506804366854117134336,,"0","0",EP320506423850480960016384,"320500",,"0",,L,"2023","0","0","320500",i,fb7e07f1-d590-11ee-bd47-fa163e11a32f,"1","2026-03-12 01:00:09",,,,,,,,,苏州市
WS320500832682189454839808,ws10016,EA320500832281752977281024,,USER3205048MANUAL,"320571410000",2024-05-15 18:21:46.000,2024-05-28 17:45:20.000,USER3205048MANUAL,"USER3205048MANUAL,USER3205055MANUAL,USER3205049MANUAL",,（苏苏园）应急询笔检〔2024〕74号,FILE320500837363048380370944,,3,,"0","0",0,"74","0",FILE320500832682412973494272,,"0","1",EP3205001639666831249240594,"320500",,"0",2024-05-28 16:21:49.000,E,"2024","0","0","320500",i,"1d91bf3e-12dd-11ef-bd47-fa163e11a32f","1","2026-03-12 01:00:09",,,,,,,,,苏州市
