立案-处罚裁量,立案对象id,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,当事人意??","承办人意??,总实际金??",数据导入类型，是否是本系统生成的数据 默认0 ,地区编码,操作类型,uuid,分类分级,加载时间,"行政处罚类型 0：一般行政处罚案??1：重大行政处罚案??,地区编码""",数据导入类型，是否是本系统生成的数据 默认0 _1,Column1,_2
LDIR320500705343225996513280,LA320500702854863914012672,1,,"1、“未对承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十二条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否积极组织或支持安全生产公益活动，代入公式计算为4000元（肆仟元），拟对其作出处罚4000元（肆仟元）罚款的行政处罚??,4000.0000000000,320500""",320571,i,b6945226-ff0d-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320571,,
LDIR320500697475251381997568,LA320500697391437796347904,0,,"1、“你单位安全设备的安装不符合国家标准：你单位牵伸车间卷曲机外露的传动轴（距地??.24米）未安装防护罩壳、牵伸车??台牵伸减速机外露的电动机传动轴（距地面为0.65米）未安装防护罩壳”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??5000元（贰万伍仟元），拟对其作出处罚25000元（贰万伍仟元）罚款的行政处罚??,25000.0000000000,320500""",320582,i,67b903e7-ef56-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320581812684387668725760,LA320581789817999023411200,1,,“生产经营单位未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责，或者未对承包单位、承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，代入公式计算??350元（贰仟叁佰伍拾元），拟对其作出??350元（贰仟叁佰伍拾元）罚款的行政处罚??2350.0000000000,320500,320581,i,dee26cc2-e7a5-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,
LDIR320500637214728543801344,LA320500635474173178679296,1,,"1、“该单位将厂房租赁给15家单位，用于存放木质家具，未对承租单位的安全生产统一协调、管理”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十二条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，带入公式计算为1200元（壹仟贰佰元），拟对其作出处罚1200元（壹仟贰佰元）罚款的行政处罚??2、“该单位??号楼??号楼之间的安全通道设置了隔离线，堆放了托盘等杂物，占用了安全通道”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十五条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险，带入公式计算为1200元（壹仟贰佰元），拟对其作出处罚1200元（壹仟贰佰元）罚款的行政处罚??,2400.0000000000,320500""",320507,i,a08f8c4f-6b52-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507,,
LDIR320500330748492370677760,LA320500330376449850609664,0,,,26250,320500,320505,i,12cac6bc-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320505
LDIR320500522778730481848320,LA320500518800778882715648,0,,1、??021??2??1??3??9分执法人员巡查时发现昆山冠奥铝业有限公司厂区中间正在进行行车吊装装卸作业，现场两名作业人员未正确佩戴安全帽等劳动防护用品，责令企业为现场作业人员提供符合国家标准或行业标准的劳动防护用品，并监督、教育从业人员正确佩戴使用”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十三条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险??带入公式计算??000元，拟对其作出处??000元罚款的行政处罚??,6000,320500,320583,i,fe203641-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583
LDIR320500428563216604336128,LA320500428505889251528704,1,,,5000,320500,320583,i,12d1230d-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583
LDIR320500421240902795661312,LA320500416269092429762560,0,,,47500,320500,320582,i,12cfef4f-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582
LDIR320500459718346758164480,LA320500457466341025124352,0,,"1??该单位未按照规定定期组织生产安全事故应急救援预案演??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择对违法行为是否认识到位、是否立即采取措施纠正，从重因子选择在处置突发事件期间实施安全生产违法行为的，增加系??.2；，带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??2??""该单位锁闭生产经营场所出口""""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择对违法行为是否认识到位、是否立即采取措施纠正，带入公式计算??000元，拟对其作出处??000元罚款的行政处罚??",25000,320500,320582,i,5b6dec48-f545-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582
LDIR320500700009158031708160,LA320500698166021013377024,0,,"1、“该单位为金属冶炼企业，安全生产管理人员未依法经考核合格”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零五条应裁量为一档，代入公式计算??0000元（叁万元），拟对其作出处罚30000元（叁万元）罚款的行政处罚??,12000.0000000000,320500""",320582,i,65e264dc-f40d-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320582,,
LDIR320581815597285105733632,LA320581815172659225563136,0,,“特种作业人员未按照规定经专门的安全作业培训并取得相应资格上岗作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分，五、安全培训类，第一百一十条，处罚档次：一档，裁量系数：对违法行为认识到位、立即采取措施纠正、未通过安全生产标准化考评且未投保安全生产责任保险、未积极组织或支持安全生产公益活动、违法行为法律责任为非可(??处，代入公式计算为人民币壹万捌仟元（?18000），拟对常熟市金织经纬编织造有限公司作出罚款人民币壹万捌仟元（?18000）的行政处罚??18000.0000000000,320500,320581,i,35d0f51f-edef-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,
LDIR320500527522845798961152,LA320500527497312201609216,0,,昆山江舟塑料制品有限公司建设项目投入生产前，安全设施未经竣工验收合格，并形成书面报告的行为，参照《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第五十三条，处罚档次和裁量幅度为一档，带入公式计算??2500元，拟对其作出处??2500元罚款的行政处罚??12500.0000000000,320500,320583,i,a5262e08-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,
LDIR320585459713452806508544,LA320585457931300330803200,0,,,35000,320500,320585,i,25dd7345-157d-11ec-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320500426046290967662592,LA320500415853175786967040,0,,,12500,320500,320507,i,12cfe5d3-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507
LDIR320500878562172039335936,LA320500873846449794715648,0,,昆山茂竣精密机械设备有限公司未与承租单位签订专门的安全生产管理协议且未在承租合同中明确各自的安全生产管理职责，参照《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条，该公司未与承租单位签订专门的安全生产管理协议且未在承租合同中明确各自的安全生产管理职责，应裁量为一档，“未与承包单位、承租单位签订专门的安全生产管理协议或者未在承包合同、租赁合同中明确各自的安全生产管理职责的”，鉴于该公司对违法行为立即采取措施纠正，但未通过安全生产标准化考评且未购买安全生产责任保险，主要负责人考试未达??0分，未能提供积极组织或支持安全生产公益活动的资料，建议给予昆山茂竣精密机械设备有限公司罚款人民币15125元（壹万伍仟壹佰贰拾伍）的行政处罚。（S1=1.85-??.85-0.5??1/4=1.5125万元??15125.0000000000,320500,320583,i,d65b978c-79cf-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,
LDIR320581706506652823588864,LA320581703272694052818944,0,,"1、“企业在用空压机储气罐安全设备（压力表，设备编号20210595044）过期未进行检测”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第一十一条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??000元（玖仟元），拟对其作出处罚9000元（玖仟元）罚款的行政处罚??2、??022????3日，职工熊著波在操作剪板机作业时，不慎将手伸入剪板机刀口，导致剪伤手指，违反操作规程作业”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十八条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??3000元（壹万叁仟元），拟对其作出处罚13000元（壹万叁仟元）罚款的行政处罚??,22000.0000000000,320500""",320581,i,3575d8a9-0169-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320585427105998990217216,LA320585424594171899154432,0,,,12500,320500,320585,u,166e87cf-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585
LDIR320581989909445284728832,LA320581987383298638483456,0,,"1、“检查当日，生产车间??号双针床经编机处于正常生产过程，其传动部位（距离地面??.53米）未设置安全防护装置”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第一十条应裁量为一档，纠违态度措施选择立即采取措施纠正，代入公式计算为12000元（壹万贰仟元），拟对其作出??2000元（壹万贰仟元）罚款的行政处罚??,12000.0000000000,320500""",320581,i,2f850907-6d68-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320581513030264499212288,LA320581510751162874466304,0,,依据《江苏省安全生产行政处罚自由裁量适用细则》（2021版）第六十九条应裁量为二档，裁量幅度：二档：责令停止经营活动，没收违法经营的危险化学品以及违法所得，并处13万元以上17万元以下的罚款；纠违态度措施选择“对违法行为认识到位”、“立即采取措施纠正”，带入公式计算??72916元，拟对其作出没收违法所??2916元，并处??50000元罚款的行政处罚??172916.0000000000,320500,320581,i,fe37beca-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,
LDIR320585631430324479332352,LA320585630041204171476992,1,,"1、“生产经营单位的其他负责人和安全生产管理人员未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??3000元（壹万叁仟元），拟对其作出处罚13000元（壹万叁仟元）罚款的行政处罚??,13000.0000000000,320500""",320585,i,fc35370e-5ebf-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,,
LDIR320500623824361068957696,LA320500620610279264227328,0,,"1、“现场抽查一名员??022??月新入职员工彭敏敏（622825199006060645）正在作业，未见新员工三级教育培训记录”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第五章第一百零三条应裁量为一档，带入公式计算??0000元（叁万元），拟对其作出处罚30000元（叁万元）罚款的行政处罚??,30000.0000000000,320500""",320583,u,82ff557a-4e3f-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320500674548220591869952,LA320500672045743401340928,1,,依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第二章第七十四条应裁量，处罚档次为二档：使用伪造的特种作业操作证的。裁量幅度为二档：给予警告，并处3000元以??000元以下的罚款。代入公式计算为5000元（伍仟元），拟对其作出处罚5000元（伍仟元）罚款的行政处罚??5000.0000000000,320500,320583,i,a7aaa389-bc42-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,
LDIR320506451317536571527168,LA320506448831442076569600,0,,,42500,320500,320506,i,09c35fec-ea45-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320506
LDIR320581550697621707034624,LA320581546346899083366400,0,,"1、“生产经营单位未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标??现场存在一个水塔、水池属于有限空间，未设置安全警示标??”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第九条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??000元，拟对其作出处??000元罚款的行政处罚??,9000.0000000000,320500""",320581,i,a0a89c01-af81-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320505426679285512671232,LA320505421260756751749120,0,,,20000,320500,320581,i,63b9453f-ddb2-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320505940919331691171840,LA320505939508617378271232,0,,"1、“生产经营单位未为从业人员提供符合国家标准或者行业标准的劳动防护用品”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第一十三条应裁量为一档，纠违态度措施选择主要负责人‘逢查必考’中考试分数达到90分、立即采取措施纠正、积极组织或支持安全生产公益活动，代入公式计算为6000元（陆仟元），拟对其作出??000元（陆仟元）罚款的行政处罚??,6000.0000000000,320500""",320583,i,9ae25819-fdd3-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320500522805407119314944,LA320500520960312636084224,1,,"1、“企业危险作业人员朱真明使用伪造的特种作业操作证”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第二章第七十四条应裁量为二档，""带入公式计算??000元，拟对其作出处??000元罚款的行政处罚??,4000.0000000000,320500""",320583,i,fe2560ce-992b-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583,,
LDIR320500690128455169216512,LA320500688312709304815616,0,,依据《江苏省安全生产行政处罚自由裁量适用细则》第一百九十九条“生产、储存、使用危险化学品的单位未将危险化学品储存在专用仓库内，或者未将剧毒化学品以及储存数量构成重大危险源的其他危险化学品在专用仓库内单独存放”的规定，应裁量为“一档：未将危险化学品储存在专用仓库内”，对应的裁量幅度为“一档：责令改正，处 5 万元以上 6.5 万元以下的罚款”，鉴于该单位对违法行为认识到位、立即采取措施纠正、通过安全生产标准化考评，代入公式计算为53750元（伍万叁仟柒佰伍拾元），拟对其作出罚款53750元（伍万叁仟柒佰伍拾元）的行政处罚??53750.0000000000,320500,320507,i,17653695-e456-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507,
LDIR320581954664488764706816,LA320581953935556478242816,1,,"1、“生产车间北面通道被货物占用，影响消防车通行，生产车间北面西侧的疏散通道被货物堵塞，影响员工逃生”依据《江苏省安全生产行政处罚裁量权基准??第二部分第一章第二十七条应裁量为一档，纠违态度措施选择立即采取措施纠正，代入公式计算为2400元（贰仟肆佰元），拟对其作出??400元（贰仟肆佰元）罚款的行政处罚??,2400.0000000000,320500""",320581,i,dda53f40-1baf-11f0-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,,
LDIR320585678534991184924672,LA320585678522225271246848,0,,太仓市腾信机械有限公司焊接岗位员工唐先球（身份证号：340826197701113452）未经专门培训取得特种作业操作证上岗作业的违法行为，依据《江苏省安全生产行政处罚自由裁量适用细则》，处罚档次：一档：“使用未取得特种作业操作证的特种作业人员上岗作业，或者特种作业人员未按照规定经专门的安全作业培训并取得相应资格上岗作业，??人的”。裁量幅度：一档：“责令限期改正，对生产经营单位处3万元以下的罚款；逾期未改正的，责令停产停业整顿，对生产经营单位处10万元以上13万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??万元以上2.9万元以下的罚款”。对照处罚因子：该单位对违法行为认识到位、立即采取措施整改，建议给予太仓市腾信机械有限公司人民币壹万捌仟元整罚款的行政处罚??18000.0000000000,320500,320585,i,798d84a3-c4e7-11ed-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,
LDIR320581789417233368485888,LA320581788772680059850752,0,,“生产经营场所设置的出口未保持畅通”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分，一、综合类，第二十九条，处罚档次：一档：生产经营场所和员工宿舍设置的出口、疏散通道不符合紧急疏散需要、没有明显标志或未保持畅通的，责令限期改正，??.5万元以下的罚款，对其直接负责的主管人员和其他直接责任人员??000元以下的罚款，裁量系数：对违法行为认识到位、立即采取措施纠正、未通过安全生产标准化考评且未投保安全生产责任保险、未积极组织或支持安全生产公益活动、违法行为法律责任为非可(??处，代入公式计算为玖仟元(?9000)，拟对常熟市梅李镇华祥织造厂作出罚款人民币玖仟元(?9000)的行政处罚??9000.0000000000,320500,320581,i,4e2cf825-b55b-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581,
LDIR320505427028866939228160,LA320505424880930826489856,0,,,38750,320500,320581,i,130d7d20-b307-11eb-bca6-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320500712700700726923264,LA320500707958113197625344,1,,"1、“厂房三栋位于一楼车间南侧的疏散通道被占用、封堵”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十五条应裁量为二档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，代入公式计算??000元（伍仟元），拟对其作出处罚5000元（伍仟元）罚款的行政处罚??,5000.0000000000,320500""",320507,i,0539b32a-0ec5-11ee-bd47-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320507,,
LDIR320500499506839017230336,LA320500489736473520640000,0,,"1??企业污水处理地下池开口未安装防护措施，存在坠落隐??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，带入公式计算??000元，拟对其作出处??000元罚款的行政处罚??2??""企业三楼PTH线龙门吊紧急制动装置和防撞急停装置损坏未维??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为二档，带入公式计算??5000元，拟对其作出处??5000元罚款的行政处罚??3??""生产经营单位未将事故隐患排查治理情况如实记录""""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，带入公式计算??0000元，拟对其作出处??0000元罚款的行政处罚??",94000,320500,320583,i,aa178480-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320583
LDIR320581494816408585113600,LA320581482571200887787520,0,,"1??生产经营单位未按照规定对从业人员、被派遣劳动者、实习学生进行安全生产教育和培训，或者未按照规定如实告知有关的安全生产事??""依据《江苏省安全生产行政处罚自由裁量适用细则》应裁量为一档，纠违态度措施选择对违法行为认识到位、立即采取措施纠正，带入公式计算??8000元，拟对其作出处??8000元罚款的行政处罚??",18000,320500,320581,i,aa88737f-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320585607552262616649728,LA320585606819653796237312,1,,"1、“生产经营单位的其他负责人和安全生产管理人员未履行《中华人民共和国安全生产法》规定的安全生产管理职责（未导致发生生产安全事故的）”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正，带入公式计算??3000元（壹万叁仟元），拟对其作出处罚13000元（壹万叁仟元）罚款的行政处罚??,14500.0000000000,320500""",320585,i,11d9aa70-2ae3-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320585,,
LDIR320581490531929028825088,LA320505467625075349131264,0,,,58250,320500,320581,i,aa64d0fe-a450-11ec-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320581
LDIR320500632540528512077824,LA320500620967577656496128,0,,"1、“生产经营单位违反《江苏省安全生产条例》进行高处作业、有限空间作业、临近高压输电线路作业、建筑物和构筑物拆除、大型检修等危险作业的”依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第三十三条应裁量为一档，纠违态度措施选择是否对违法行为认识到位、是否立即采取措施纠正、是否通过安全生产标准化考评或法律规定应当投保安全生产责任保险以外的其他企业是否投保安全生产责任保险、是否积极组织或支持安全生产公益活动，带入公式计算为20000元（贰万元），拟对其作出处罚20000元（贰万元）罚款的行政处罚??,26000.0000000000,320500""",320509,i,7b45e569-611b-11ed-8131-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320509,,
LDIR320506881549497971249152,LA320506879017917348319232,1,,苏州方泰精密机械科技有限公司未对承租单位的安全生产工作统一协调、管理，依据《工贸企业重大事故隐患判定标准》第三条第（一）项，应当判定为重大事故隐患。依据《江苏省安全生产行政处罚自由裁量适用细则》第二部分第一章第二十六条应裁量为二档，处罚层级为正常处罚，鉴于该公司立即采取措施纠正，主要负责人考试达到 90分，但该企业未通过安全生产标准化考评，且未投保安全生产责任保险，未曾积极组织或支持安全生产公益活动，当事人不存在应当依法从重处罚的情形。代入公式计算为5500元（伍仟伍佰元），拟对其作出??500元（伍仟伍佰元）罚款的行政处罚（S1=7300-3600*2/4）??5500.0000000000,320500,320506,i,d3f060fc-7e86-11ef-b4a9-fa163e11a32f,1,Thu Mar 12 00:55:08 CST 2026,,320506,
