场景,企业ID,企业名称,管理类别,风险等级,预测风险等级,是否发生事故,安全生产标准化建设情况,企业职工总人数,专职安全生产管理人员数,兼职安全生产管理人员数,上一年经营收入,固定资产,是否发现问题隐患 0-否 1-是,具体风险描述,管控措施,安全等级,企业规模,行业监管大类,国民经济大类,报告时间,数据来源,是否规上企业,是否投保,是否履行三同时手续,厂中厂,有风险项,爆炸性粉尘企业,氨制冷企业,有限空间企业,重大危险源,金属冶炼企业,燃气企业,有限空间作业企业,危化品企业,风险重点企业,关键风险企业,数据有效标识,危化品企业标识,危险化学品使用,有限空间关键企业,最近风险报告ID,安全管理人员数量,部门安全管理人员数量,专职安全管理人持证员数,兼职安全管理人持证员数,特种作业持证人数,投保金额,工伤保险支出（万元）,投保人数,上一年人员流动率,总风险数,A级风险数,B级风险数,C级风险数,D级风险数,曾发事故的风险数,检查总次数,检查发现问题次数,隐患总数,一般隐患数,重大隐患数,未整改隐患数,文书总数,立案文书数,检查文书数,处罚金额,干式除尘系统数量,除尘作业次数,转炉数量,电炉数量,生产状态,经营状态,国民经济门类,国民经济中类,国民经济小类,经度,纬度,危化品储罐数量,重大危险源数量,消防设施完好率,气体检测仪在线率,高炉容积_m3,煤气柜容量_万m3,铁水包在线数量,炉壳温度测点完好率,煤气报警器覆盖率,抛光工位数量,湿式除尘器数量,粉尘清扫制度执行率,防爆电气覆盖率,静电接地完好率,高炉数量
chemical,CHEM-4-010,远东精细化工（模拟-红）,1050,4,红,1,1,30,1,0,5163,60294,1,储罐区可燃气体浓度异常升高逼近爆炸下限，通风系统故障停运,立即切断储罐进料阀门，启动备用通风系统，撤离非必要人员,D级,小型,危险化学品,化学原料和化学制品制造业,2026-04-11,演示CSV,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,RPT-772741,1,1,1,0,2,71.43,47.14,17,0.091,5,1,1,2,1,1,30,8,8,8,0,1,8,0,8,16.33,0,0,0,0,限产运行,正常,制造业,化学原料和化学制品制造业,专用化学产品制造,121.15002,31.440099,8,5,0.66,0.67,,,,,,,,,,,
dust,DUST-2024-003,鑫源铝镁粉尘制品厂,3002,4,红,1,1,85,1,1,1200,800,1,抛光车间铝镁粉尘浓度达到爆炸极限的45%，湿式除尘系统水位不足，电气设备未按要求防爆,立即停止抛光作业，补充除尘水位，切断非防爆电源,D级,小型,粉尘涉爆,金属制品业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.45,0.6,0.55,
dust,DUST-4-001,联创铝镁粉尘制品厂（模拟-红）,3041,4,红,1,1,369,2,1,2772,85568,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-12,演示CSV,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-290926,3,1,2,1,20,460.52,77.73,258,0.125,6,3,1,0,2,1,18,3,6,6,2,3,4,2,2,8.7,2,33,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.436688,31.140643,,,,,,,,,,6,2,0.57,0.58,0.61,
dust,DUST-4-002,宏粉尘铝镁粉尘制品厂（模拟-红）,3042,4,红,1,1,75,1,0,3958,3987,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-23,演示CSV,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-270557,1,1,1,0,3,399.6,12.34,70,0.093,4,2,1,0,1,1,22,4,5,5,2,0,8,1,7,3.44,1,33,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.5742,31.170105,,,,,,,,,,16,2,0.63,0.61,0.64,
dust,DUST-4-003,顺达铝镁粉尘制品厂（模拟-红）,3043,4,红,1,1,77,1,0,6071,9124,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-17,演示CSV,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-157152,1,1,1,0,3,213.8,30.62,50,0.196,3,1,1,0,1,1,27,3,6,6,0,0,10,2,8,14.28,2,81,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.699675,31.025736,,,,,,,,,,9,6,0.56,0.54,0.63,
dust,DUST-4-004,新铝铝镁粉尘制品厂（模拟-红）,3044,4,红,1,1,187,1,0,7630,174287,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-26,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-947438,1,1,1,0,9,485.35,51.28,122,0.179,5,2,1,0,2,1,22,2,5,5,0,1,9,1,8,3.34,1,86,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.918632,31.535514,,,,,,,,,,19,5,0.65,0.6,0.54,
dust,DUST-4-005,泰和铝镁粉尘制品厂（模拟-红）,3045,4,红,1,1,395,4,2,1285,199492,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-04-27,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-683390,6,2,4,2,17,163.06,29.33,374,0.163,3,1,0,1,1,1,28,3,4,4,0,0,5,1,4,31.65,0,120,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.200412,31.587576,,,,,,,,,,17,1,0.58,0.55,0.6,
dust,DUST-4-006,瑞丰铝镁粉尘制品厂（模拟-红）,3046,4,红,0,1,81,1,0,6736,75997,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-09,演示CSV,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-381631,1,1,1,0,5,10.12,67.22,64,0.138,8,3,1,2,2,0,31,6,9,9,1,1,4,1,3,7.17,1,82,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.358235,31.684852,,,,,,,,,,11,2,0.56,0.64,0.62,
dust,DUST-4-007,广益铝镁粉尘制品厂（模拟-红）,3047,4,红,1,1,194,1,0,1839,116793,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-04-13,演示CSV,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-153015,1,1,1,0,14,352.32,29.18,117,0.222,4,1,2,0,1,1,20,7,10,10,2,2,8,2,6,11.33,2,70,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.13541,31.123873,,,,,,,,,,4,2,0.57,0.62,0.55,
dust,DUST-4-008,鑫源抛光车间（模拟-红）,3048,4,红,1,1,272,1,0,1639,68806,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-24,演示CSV,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-778818,1,1,1,0,8,400.43,25.66,178,0.187,4,1,2,0,1,1,16,5,5,5,1,0,5,2,3,21.42,1,111,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.467024,31.64274,,,,,,,,,,17,4,0.65,0.6,0.56,
dust,DUST-4-009,联创抛光车间（模拟-红）,3049,4,红,1,1,184,1,0,5088,27820,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-05-28,演示CSV,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,RPT-159532,1,1,1,0,12,401.18,52.0,164,0.196,4,1,1,0,2,1,14,6,8,8,1,2,7,2,5,31.65,2,37,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,121.221283,31.655401,,,,,,,,,,13,3,0.65,0.59,0.62,
dust,DUST-4-010,宏粉尘抛光车间（模拟-红）,3050,4,红,1,1,328,1,0,3111,191460,1,粉尘浓度达爆炸极限区间，湿式除尘失效，非防爆电气仍在运行,立即停止产尘作业，切断非防爆电源，疏散人员并设警戒区,D级,小型,粉尘涉爆,金属制品业,2026-04-18,演示CSV,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,RPT-926372,1,1,1,0,24,185.84,50.99,277,0.164,6,1,2,2,1,1,21,8,10,10,2,2,4,1,3,10.81,0,80,0,0,限产运行,正常,制造业,金属制品业,金属结构制造,120.553677,31.634397,,,,,,,,,,22,5,0.52,0.66,0.59,
metallurgy,META-4-001,宝钢钢铁炼铁厂（模拟-红）,2041,4,红,1,1,345,2,1,1010,27336,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-08,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-884170,3,1,2,1,15,323.08,64.87,272,0.217,4,2,0,0,2,1,18,2,5,5,1,1,10,0,10,21.34,0,0,0,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.739341,31.385886,,,,,1200,20,12,0.61,0.63,,,,,,1
metallurgy,META-4-002,龙腾钢铁炼铁厂（模拟-红）,2042,4,红,1,1,192,2,1,3293,144224,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-21,演示CSV,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,RPT-187657,3,1,2,1,7,255.65,24.22,144,0.219,5,3,0,0,2,1,35,3,6,6,0,0,8,0,8,8.47,0,0,0,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.03639,31.390732,,,,,800,14,8,0.63,0.65,,,,,,1
metallurgy,META-4-003,华冶钢铁炼铁厂（模拟-红）,2043,4,红,1,1,74,1,0,5315,160601,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-13,演示CSV,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-908903,1,1,1,0,5,167.51,40.05,56,0.174,6,3,0,2,1,1,15,5,6,6,0,0,10,1,9,6.91,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.76295,31.975051,,,,,800,20,9,0.6,0.59,,,,,,1
metallurgy,META-4-004,鑫钢钢铁炼铁厂（模拟-红）,2044,4,红,0,1,218,2,1,7625,151447,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-25,演示CSV,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-536476,3,1,2,1,16,159.97,67.82,201,0.181,2,1,0,0,1,1,35,2,3,3,2,0,4,0,4,12.92,0,0,1,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.619401,31.673326,,,,,800,10,5,0.63,0.66,,,,,,1
metallurgy,META-4-005,中联钢铁炼铁厂（模拟-红）,2045,4,红,0,1,268,1,0,2981,23645,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-12,演示CSV,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-451291,1,1,1,0,5,328.65,69.43,225,0.206,6,2,2,1,1,1,31,8,8,8,1,0,5,1,4,13.05,0,0,0,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.603949,31.529814,,,,,1200,18,9,0.65,0.66,,,,,,1
metallurgy,META-4-006,北方钢铁炼铁厂（模拟-红）,2046,4,红,0,1,173,1,0,7650,137251,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-15,演示CSV,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,RPT-433507,1,1,1,0,8,116.81,76.05,125,0.112,6,3,0,2,1,1,27,6,9,9,2,0,2,2,0,4.24,0,0,2,1,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.270147,31.108973,,,,,800,10,9,0.6,0.62,,,,,,1
metallurgy,META-4-007,扬子钢铁炼铁厂（模拟-红）,2047,4,红,0,1,136,1,0,7283,32434,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-16,演示CSV,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-199326,1,1,1,0,6,401.95,19.79,77,0.092,3,1,1,0,1,0,16,3,5,5,2,0,10,1,9,31.05,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.330372,31.982567,,,,,1200,11,8,0.59,0.63,,,,,,1
metallurgy,META-4-008,金泰轧钢厂（模拟-红）,2048,4,红,0,1,328,2,1,478,17900,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-21,演示CSV,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-136332,3,1,2,1,18,308.49,55.31,245,0.17,3,1,0,1,1,0,20,8,9,9,0,1,8,1,7,29.72,0,0,2,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.382779,31.479031,,,,,800,13,8,0.57,0.6,,,,,,1
metallurgy,META-4-009,宝钢轧钢厂（模拟-红）,2049,4,红,1,1,352,1,0,3433,188005,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-05-09,演示CSV,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,RPT-267378,1,1,1,0,9,328.43,28.66,197,0.221,7,3,1,1,2,1,25,8,11,11,1,2,5,1,4,7.39,0,0,0,0,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,121.417259,31.055909,,,,,1200,17,7,0.65,0.66,,,,,,1
metallurgy,META-4-010,龙腾轧钢厂（模拟-红）,2050,4,红,0,1,151,1,0,7787,156074,1,煤气管道压力剧烈波动，TRT透平机振动超标，炉顶温度连续超警,降低鼓风量至正常值85%以下，增打水频率，煤气防护站待命,D级,小型,冶金,黑色金属冶炼和压延加工业,2026-04-24,演示CSV,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,RPT-851763,1,1,1,0,4,401.21,70.78,119,0.1,6,2,2,1,1,1,14,6,7,7,2,1,5,0,5,3.14,0,0,1,2,限产运行,正常,制造业,黑色金属冶炼和压延加工业,炼铁,120.647712,31.704696,,,,,1200,8,10,0.64,0.66,,,,,,1
