"主键id","鉴定依据:1 民标 2 危标 3 工标 4 完标 5 其他","委托日期,2011-12-22 00:00:00","建筑地址,金筑街588号","鉴定机构","图斑ID,3205080016109","区域名称 姑苏","房屋类型,示例：1","鉴定报告访问地址","报告文件2","鉴定类型:1 安全性鉴定 2 危房性鉴定 3 其他","是否解危 1 已解危， !=1 未解危","鉴定结论","正式鉴定日期,2011-12-27 00:00:00","建筑名称","街道名称,示例：白洋湾街道","报告生成日期,2011-12-27 13:40:44","房间号码","区域ID,示例：320508","报告编号,示例：苏房安鉴[2011]金咨B字第10号","项目名称,示例：金筑街588号","街道ID","creator","create_time","updater","update_time","tenant_id","deleted"
1988794500011700226,"1","2024-08-21 00:00:00",黄埭镇农贸北街,苏州方正工程技术开发检测有限公司,"3205070040827",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20241119/wu_1id0uhh6hk261r20ic951ls6m8.pdf,"","1","",Csu,"",原东桥农贸市场房屋,黄埭镇,"2024-10-31 00:00:00","","320507",【相城】苏鉴字第002号2401245,原东桥农贸市场房屋,"",,2025-11-13 10:22:13.475,,2025-11-13 10:22:13.475,,0
2005452614765088769,"3","2025-09-16 00:00:00",江苏常熟新材料产业园海宁路12号,南京南大工程检测有限公司,"3205810574302",常熟,"1","","","1","","","",常熟世名化工科技有限公司12幢安全性鉴定,"","","","320581","",常熟世名化工科技有限公司12幢安全性鉴定,"",,2025-12-29 09:35:37.524,,2025-12-29 09:35:37.524,,0
1988794520735756290,"1","2025-05-27 00:00:00",苏州市相城区黄埭镇春丰路408号,苏州方正工程技术开发检测股份有限公司,"3205070015148",相城,"1",http://218.4.84.173:8003\fileAnnexes/6108c2ea-88af-4b67-9ace-c971e385e403/20250616/wu_1itrcu501kn01e7ft4imas13ap8.pdf,"","1","",Bsu,"",苏州市公安局相城分局黄埭派出所业务用房,"","2025-06-13 00:00:00","","320507",【相城】苏鉴字第002号2500948,苏州市公安局相城分局黄埭派出所业务用房,"",,2025-11-13 10:22:18.418,,2025-11-13 10:22:18.418,,0
2004125332179980290,"","2012-07-04 00:00:00",龙惠花苑11幢1503室,"","3205050007581",虎丘,"1","","","3","","","2012-07-06 00:00:00","","","2012-07-06 13:59:18","","320505",苏房安鉴[2012]改A字第1808号,龙惠花苑11幢1503室,"",,2025-12-25 17:41:28.696,,2025-12-25 17:41:28.696,,0
2005452615230656513,"1","2023-12-15 00:00:00",敦煌路377路,吴江市建设工程质量检测中心有限公司,"3205090210494",吴江,"1","","","1","","","",盛泽镇敦煌路377号1幢101室,盛泽镇,"2023-12-27 00:00:00","","320509",【吴江】苏鉴字第017号2301956,盛泽镇敦煌路377号1幢101室,"",,2025-12-29 09:35:37.635,,2025-12-29 09:35:37.635,,0
1988795092197093377,"1","2023-03-04 00:00:00",马家娄路1号,中国建材检验认证集团江苏有限公司,"3205070078702",相城,"1",http://218.4.84.173:8003\fileAnnexes/1fe27115-0ec1-463f-aeba-325092ea285f/20230704/wu_1h4g13lbj1b9i1rfdlop10cokgv8.pdf,"","1","",Bsu,"",漕湖永昌泾花苑二期配套用房结构安全鉴定,漕湖街道,"2023-07-04 00:00:00","","320507",【相城】苏鉴字第004号2300459,漕湖永昌泾花苑二期配套用房结构安全鉴定,"",,2025-11-13 10:24:34.662,,2025-11-13 10:24:34.662,,0
2005452615239045122,"1","2025-11-06 00:00:00",吴江区敦煌路377路,联检（江苏）科技股份有限公司,"3205090210494",吴江,"1","","","1","","","",黄家溪商会大厦1幢106室装修改造项目（四楼）,"","2025-11-27 00:00:00","","320509",【吴江】苏鉴字第014号2502441,黄家溪商会大厦1幢106室装修改造项目（四楼）,"",,2025-12-29 09:35:37.637,,2025-12-29 09:35:37.637,,0
2005452616694468610,"","2022-11-28 00:00:00",昆山市陆家镇泗桥社区苗圃场路64-1号,昆山市房屋安全鉴定管理站,"3205830260967",昆山,"1","","","2","","","",昆山市陆家镇泗桥社区苗圃场路64号西南侧苗圃场房屋,陆家镇,"","","320583","",昆山市陆家镇泗桥社区苗圃场路64号西南侧苗圃场房屋,"",,2025-12-29 09:35:37.985,,2025-12-29 09:35:37.985,,0
2004125333463437314,"","2011-07-13 00:00:00",金龙花园10幢403室,"","3205050050582",虎丘,"1","","","3","","","2011-07-19 00:00:00","","","2011-07-19 15:27:09","","320505",苏房安鉴[2011]审B字第1989号,金龙花园10幢403室,"",,2025-12-25 17:41:29.002,,2025-12-25 17:41:29.002,,0
2004125335199879169,"","2016-06-08 00:00:00",晨曦馨苑2幢201室,"","3205070069406",相城,"1","","","3","","","","","","2016-06-08 13:42:19","","320507",苏房安鉴[2016]内改B字第1545号,晨曦馨苑2幢201室,"",,2025-12-25 17:41:29.416,,2025-12-25 17:41:29.416,,0
2004125335199879170,"","2017-03-02 00:00:00",文昌花园19幢104室,"","3205050030943",虎丘,"1","","","3","","","","","","2017-03-02 16:45:57","","320505",苏房安鉴[2017]内改B字第167号,文昌花园19幢104室,"",,2025-12-25 17:41:29.417,,2025-12-25 17:41:29.417,,0
2005452620330930177,"","2011-04-19 00:00:00",名湖花园20幢803室,"","3205710004703",园区,"1","","","3","","","2011-04-25 00:00:00","","","2011-04-25 14:25:44","","320571",苏房安鉴[2011]审A字第1061号,名湖花园20幢803室,"",,2025-12-29 09:35:38.852,,2025-12-29 09:35:38.852,,0
2005452620339318786,"1","2023-01-30 00:00:00",福杭路(街、巷),苏州市相城检测股份有限公司,"3205070028996",相城,"1","","","1","",au,"",何家角智能产业园放入服务站,望亭镇,"2023-03-07 00:00:00","","320507",【相城】苏鉴字第007号2300272,何家角智能产业园放入服务站,"",,2025-12-29 09:35:38.853,,2025-12-29 09:35:38.853,,0
2004125335204073474,"","2012-04-05 00:00:00",晨曦馨苑2幢302室,"","3205070069406",相城,"1","","","3","","","2012-04-10 00:00:00","","","2012-04-11 09:45:20","","320507",苏房安鉴[2012]改A字第871号,晨曦馨苑2幢302室,"",,2025-12-25 17:41:29.417,,2025-12-25 17:41:29.417,,0
2004125335204073475,"","2010-05-12 00:00:00",文昌花园19幢1105室,"","3205050030943",虎丘,"1","","","3","","","2010-05-14 00:00:00","","","2010-05-14 11:35:54","","320505",苏房安鉴[2010]审A字第1405号,文昌花园19幢1105室,"",,2025-12-25 17:41:29.417,,2025-12-25 17:41:29.417,,0
2004125335204073476,"","2011-07-04 00:00:00",晨曦馨苑2幢502室,"","3205070069406",相城,"1","","","3","","","2011-07-06 00:00:00","","","2011-07-06 14:23:40","","320507",苏房安鉴[2011]审A字第2151号,晨曦馨苑2幢502室,"",,2025-12-25 17:41:29.418,,2025-12-25 17:41:29.418,,0
2004125335208267777,"","2012-06-18 00:00:00",晨曦馨苑2幢103室,"","3205070069406",相城,"1","","","3","","","2012-06-27 00:00:00","","","2012-06-27 12:33:04","","320507",苏房安鉴[2012]改B字第1674号,晨曦馨苑2幢103室,"",,2025-12-25 17:41:29.418,,2025-12-25 17:41:29.418,,0
2004125335208267778,"","2011-07-12 00:00:00",晨曦馨苑2幢506室,"","3205070069406",相城,"1","","","3","","","2011-07-14 00:00:00","","","2011-07-14 11:16:00","","320507",苏房安鉴[2011]审B字第1926号,晨曦馨苑2幢506室,"",,2025-12-25 17:41:29.418,,2025-12-25 17:41:29.418,,0
2004125335208267779,"","2011-06-10 00:00:00",晨曦馨苑2幢501室,"","3205070069406",相城,"1","","","3","","","2011-06-15 00:00:00","","","2011-06-15 13:02:20","","320507",苏房安鉴[2011]审B字第1484号,晨曦馨苑2幢501室,"",,2025-12-25 17:41:29.419,,2025-12-25 17:41:29.419,,0
2004125335212462081,"","2011-05-13 00:00:00",晨曦馨苑2幢505室,"","3205070069406",相城,"1","","","3","","","2011-05-17 00:00:00","","","2011-05-18 08:44:09","","320507",苏房安鉴[2011]审B字第1289号,晨曦馨苑2幢505室,"",,2025-12-25 17:41:29.419,,2025-12-25 17:41:29.419,,0
2004125335212462082,"","2011-05-31 00:00:00",晨曦馨苑2幢104室,"","3205070069406",相城,"1","","","3","","","2011-06-08 00:00:00","","","2011-06-08 16:21:48","","320507",苏房安鉴[2011]审B字第1431号,晨曦馨苑2幢104室,"",,2025-12-25 17:41:29.419,,2025-12-25 17:41:29.419,,0
2005452629935886338,"","2013-04-25 00:00:00",钮家巷33号,"","3205080057685",姑苏,"1","","","3","","","2013-05-02 00:00:00","","","2013-05-02 13:38:26","","320508",苏房安鉴[2013]平咨B字第4号,钮家巷33号,"",,2025-12-29 09:35:41.141,,2025-12-29 09:35:41.141,,0
2005452629940080642,"","2008-04-24 00:00:00",钮家巷33号,"","3205080057685",姑苏,"1","","","3","","","2008-04-30 00:00:00","","","2008-04-30 09:00:12","","320508",苏房鉴司[2008]平咨B字第46号,钮家巷33号,"",,2025-12-29 09:35:41.142,,2025-12-29 09:35:41.142,,0
2008054430245818369,"","2015-11-06 00:00:00",国宾花园278幢603室,"","3205710005550",园区,"1","","","3","","","","","","2015-11-06 09:15:44","","320571",苏房安鉴[2015]内改A字第2986号,国宾花园278幢603室,"",,2026-01-05 13:54:18.674,,2026-01-05 13:54:18.674,,0
2004125335212462083,"","2012-04-10 00:00:00",晨曦馨苑2幢102室,"","3205070069406",相城,"1","","","3","","","2012-04-13 00:00:00","","","2012-04-13 14:24:18","","320507",苏房安鉴[2012]改B字第1002号,晨曦馨苑2幢102室,"",,2025-12-25 17:41:29.420,,2025-12-25 17:41:29.420,,0
1988795217866829826,"","2011-11-08 00:00:00",渭西村,"","3205070071553",相城,"2",http://218.4.84.173:8199/identify-report/B5B8556E-8D53-4C99-BE2B-ABDD25CC59F3.pdf,"","3","","","2011-11-10 00:00:00","",渭塘镇,"2011-11-10 16:46:36","","320507",苏房安鉴[2011]鉴A字第35号,渭西村,"",,2025-11-13 10:25:04.625,,2025-11-13 10:25:04.625,,0
2004125335216656385,"","2010-11-04 00:00:00",文昌花园19幢805室,"","3205050030943",虎丘,"1","","","3","","","2010-11-10 00:00:00","","","2010-11-12 14:13:28","","320505",苏房安鉴[2010]审A字第3986号,文昌花园19幢805室,"",,2025-12-25 17:41:29.420,,2025-12-25 17:41:29.420,,0
1988795295935410177,"1","2022-11-04 00:00:00",北雪泾路99号,苏州市相城检测股份有限公司,"3205070144766",相城,"1",http://218.4.84.173:8003\fileAnnexes/a2261d72-decc-4d6c-bcbd-e0847b72469c/20231117/wu_1hfdhacjl15hu17kc1vqc1mvb1rq98.pdf,"","1","",Bsu,"",北雪泾路99号渭塘护理院门卫,渭塘镇,"2023-09-07 00:00:00","","320507",【相城】苏鉴字第007号2301367,北雪泾路99号渭塘护理院门卫,"",,2025-11-13 10:25:23.238,,2025-11-13 10:25:23.238,,0
2004125335216656386,"","2012-03-26 00:00:00",晨曦馨苑2幢503室,"","3205070069406",相城,"1","","","3","","","2012-03-28 00:00:00","","","2012-03-28 17:00:15","","320507",苏房安鉴[2012]改B字第814号,晨曦馨苑2幢503室,"",,2025-12-25 17:41:29.420,,2025-12-25 17:41:29.420,,0
2004125335220850689,"","2010-03-02 00:00:00",文昌花园19幢206室,"","3205050030943",虎丘,"1","","","3","","","2010-03-09 00:00:00","","","2010-03-09 09:01:43","","320505",苏房安鉴[2010]装咨A字第479号,文昌花园19幢206室,"",,2025-12-25 17:41:29.421,,2025-12-25 17:41:29.421,,0
1988795314683949057,"1","2023-07-27 00:00:00",澄阳路2568号,中国建材检验认证集团江苏有限公司,"3205070054223",相城,"1",http://218.4.84.173:8003\fileAnnexes/1fe27115-0ec1-463f-aeba-325092ea285f/20231127/wu_1hg7ul6tp2gk101ucao1fp9nje8.pdf,"","1","",Bsu,"",看台,渭塘镇,"2023-10-16 00:00:00","","320507",【相城】苏鉴字第004号2301415,看台,"",,2025-11-13 10:25:27.708,,2025-11-13 10:25:27.708,,0
2005452631743631361,"1","2024-11-22 00:00:00",李闸路167号2幢,江苏省建筑工程质量检测中心有限公司,"3205810209970",常熟,"1","","","1","",Dsu,"",常熟市虞山街道李闸路167号2#楼,虞山街道,"2024-12-23 00:00:00","","320581",【常熟】苏鉴字第012号2401458,常熟市虞山街道李闸路167号2#楼,"",,2025-12-29 09:35:41.574,,2025-12-29 09:35:41.574,,0
2004125335220850690,"","2011-06-16 00:00:00",晨曦馨苑2幢301室,"","3205070069406",相城,"1","","","3","","","2011-06-20 00:00:00","","","2011-06-21 17:12:37","","320507",苏房安鉴[2011]审B字第1556号,晨曦馨苑2幢301室,"",,2025-12-25 17:41:29.421,,2025-12-25 17:41:29.421,,0
2004125336240066561,"1","2022-10-24 00:00:00",相城阳澄湖度假区老盛饭店,苏州中正工程检测有限公司,"3205070128730",相城,"2","","","1","0",Bsu,"",相城阳澄湖度假区老盛饭店,"","2022-10-28 00:00:00","","320507",【相城】苏鉴字第005号2200463,相城阳澄湖度假区老盛饭店,"",,2025-12-25 17:41:29.664,,2025-12-25 17:41:29.664,,0
2004125337003429889,"","2014-06-09 00:00:00",梧桐树花园8幢601室,"","3205050020818",虎丘,"1","","","3","","","2014-06-09 00:00:00","","","2014-06-12 14:47:57","","320505",苏房安鉴[2014]改B字第2640号,梧桐树花园8幢601室,"",,2025-12-25 17:41:29.846,,2025-12-25 17:41:29.846,,0
1988795337781981185,"1","2023-08-01 00:00:00",渭星街111号,中国建材检验认证集团江苏有限公司,"3205070059457",相城,"1",http://218.4.84.173:8003\fileAnnexes/1fe27115-0ec1-463f-aeba-325092ea285f/20240925/wu_1i8k88fkfda46iu12qjhk911en8.pdf,"","1","",Bsu,"",教学楼1（怀珠楼）,渭塘镇,"2024-08-25 00:00:00","","320507",【相城】苏鉴字第004号2301485,教学楼1（怀珠楼）,"",,2025-11-13 10:25:33.215,,2025-11-13 10:25:33.215,,0
2004125337003429890,"","2016-04-28 00:00:00",梧桐树花园8幢901室,"","3205050020818",虎丘,"1","","","3","","","","","","2016-04-28 16:29:03","","320505",苏房安鉴[2016]内改B字第1248号,梧桐树花园8幢901室,"",,2025-12-25 17:41:29.847,,2025-12-25 17:41:29.847,,0
2004125337007624194,"","2014-06-09 00:00:00",梧桐树花园8幢602室,"","3205050020818",虎丘,"1","","","3","","","2014-06-09 00:00:00","","","2014-06-12 14:54:22","","320505",苏房安鉴[2014]改B字第2642号,梧桐树花园8幢602室,"",,2025-12-25 17:41:29.847,,2025-12-25 17:41:29.847,,0
2004125337007624195,"","2014-06-09 00:00:00",梧桐树花园8幢302室,"","3205050020818",虎丘,"1","","","3","","","2014-06-09 00:00:00","","","2014-06-12 14:51:05","","320505",苏房安鉴[2014]改B字第2641号,梧桐树花园8幢302室,"",,2025-12-25 17:41:29.848,,2025-12-25 17:41:29.848,,0
2004125338504990722,"","2020-11-23 00:00:00",新康花园137幢1005室,"","3205080010193",姑苏,"1","","","3","","","2020-11-25 00:00:00","","","2020-11-25 16:52:53","","320508",苏房安鉴[2020]意A维字第502号,新康花园137幢1005室,"",,2025-12-25 17:41:30.204,,2025-12-25 17:41:30.204,,0
2005452632406331393,"","2008-03-19 00:00:00",丑弄8号,"","3205080049144",姑苏,"1","","","3","","","2008-03-26 00:00:00","","","2008-03-26 16:58:56","","320508",苏房鉴处[2008]危咨A字第11号,丑弄8号,"",,2025-12-29 09:35:41.730,,2025-12-29 09:35:41.730,,0
1988795399501164546,"1","2023-07-28 00:00:00",渭中路508,中国建材检验认证集团江苏有限公司,"3205070157041",相城,"1",http://218.4.84.173:8003\fileAnnexes/1fe27115-0ec1-463f-aeba-325092ea285f/20231127/wu_1hg7pnoi6chm11ac1sfb11av3f48.pdf,"","1","",Bsu,"",门卫,渭塘镇,"2023-10-18 00:00:00","","320507",【相城】苏鉴字第004号2301449,门卫,"",,2025-11-13 10:25:47.930,,2025-11-13 10:25:47.930,,0
1988795422083297281,"1","2023-07-29 00:00:00",渭中路34号,中国建材检验认证集团江苏有限公司,"3205070059437",相城,"1",http://218.4.84.173:8003\fileAnnexes/1fe27115-0ec1-463f-aeba-325092ea285f/20231212/wu_1hhdrifdu7pbe24eqa19vm1u0n8.pdf,"","1","",Bsu,"",体育馆,渭塘镇,"2023-12-12 00:00:00","","320507",【相城】苏鉴字第004号2301519,体育馆,"",,2025-11-13 10:25:53.314,,2025-11-13 10:25:53.314,,0
2000884799231950849,"2","2022-12-26 14:19:02","14组20号陈勇","","3205820246254",张家港,"2","","","2","1",D,"","",经开区（杨舍镇）,"","","","","14组20号陈勇_","",,2025-12-16 19:04:45.437,,2025-12-16 19:04:45.437,,0
2004125338509185026,"","2012-10-08 00:00:00",博雅苑16幢101室,"","3205060000361",姑苏,"1","","","3","","","2012-10-09 00:00:00","","","2012-10-10 09:01:16","","320508",苏房安鉴[2012]改B字第3432号,博雅苑16幢101室,"",,2025-12-25 17:41:30.205,,2025-12-25 17:41:30.205,,0
2004125338509185027,"","2020-11-23 00:00:00",新康花园137幢301室,"","3205080010193",姑苏,"1","","","3","","","2020-11-25 00:00:00","","","2020-11-25 16:40:26","","320508",苏房安鉴[2020]意A维字第481号,新康花园137幢301室,"",,2025-12-25 17:41:30.206,,2025-12-25 17:41:30.206,,0
